,Optimal_Affected_Component_Uid,Optimal_Failure,ln
130,_SE8XmecdEeet0YmmfbMwkw,CF1,4.5255
131,_SE8XmecdEeet0YmmfbMwkw,CF1,4.5255
132,_SE8XmecdEeet0YmmfbMwkw,CF1,4.5255
133,_SE8XmecdEeet0YmmfbMwkw,CF1,4.5255
134,_SFJLBecdEeet0YmmfbMwkw,CF1,5.7179
135,_SFJLBecdEeet0YmmfbMwkw,CF1,5.7179
136,_SFJLBecdEeet0YmmfbMwkw,CF1,5.7179
137,_SFMPjecdEeet0YmmfbMwkw,CF2,7.1947
138,_SFMPjecdEeet0YmmfbMwkw,CF2,7.1947
139,_SFMPjecdEeet0YmmfbMwkw,CF2,7.1947
140,_SFM2T-cdEeet0YmmfbMwkw,CF2,5.7349
141,_SFM2T-cdEeet0YmmfbMwkw,CF2,5.7349
142,_SFM2T-cdEeet0YmmfbMwkw,CF2,5.7349
143,_SFM2T-cdEeet0YmmfbMwkw,CF2,5.7349
144,_SFM2T-cdEeet0YmmfbMwkw,CF2,5.7349
145,_SFM2T-cdEeet0YmmfbMwkw,CF2,5.7349
146,_SFB2iucdEeet0YmmfbMwkw,CF1,4.2769
147,_SFB2iucdEeet0YmmfbMwkw,CF1,4.2769
148,_SFB2iucdEeet0YmmfbMwkw,CF1,4.2769
149,_SFSVIucdEeet0YmmfbMwkw,CF2,2.3108
150,_SFSVIucdEeet0YmmfbMwkw,CF2,2.3108
151,_SFSVIucdEeet0YmmfbMwkw,CF2,2.3108
152,_SE-MvecdEeet0YmmfbMwkw,CF2,2.4659
153,_SE-MvecdEeet0YmmfbMwkw,CF2,2.4659
154,_SE-MvecdEeet0YmmfbMwkw,CF2,2.4659
155,_SE-zLOcdEeet0YmmfbMwkw,CF1,3.3507
156,_SE-zLOcdEeet0YmmfbMwkw,CF1,3.3507
157,_SE-zLOcdEeet0YmmfbMwkw,CF1,3.3507
158,_SE-zLOcdEeet0YmmfbMwkw,CF1,3.3507
159,_SFETIecdEeet0YmmfbMwkw,CF1,3.0156
160,_SFETIecdEeet0YmmfbMwkw,CF1,3.0156
161,_SFETIecdEeet0YmmfbMwkw,CF1,3.0156
162,_SE_bAOcdEeet0YmmfbMwkw,CF1,2.9966
163,_SE_bAOcdEeet0YmmfbMwkw,CF1,2.9966
164,_SE_bAOcdEeet0YmmfbMwkw,CF1,2.9966
165,_SE7wA-cdEeet0YmmfbMwkw,CF1,4.2149
166,_SE7wA-cdEeet0YmmfbMwkw,CF1,4.2149
167,_SE7wA-cdEeet0YmmfbMwkw,CF1,4.2149
168,_SFGvW-cdEeet0YmmfbMwkw,CF1,4.3359
169,_SFGvW-cdEeet0YmmfbMwkw,CF1,4.3359
170,_SFGvW-cdEeet0YmmfbMwkw,CF1,4.3359
171,_SE0bSucdEeet0YmmfbMwkw,CF1,4.5185
172,_SE0bSucdEeet0YmmfbMwkw,CF1,4.5185
173,_SE0bSucdEeet0YmmfbMwkw,CF1,4.5185
174,_SFKaeecdEeet0YmmfbMwkw,CF2,7.1867
175,_SFKaeecdEeet0YmmfbMwkw,CF2,7.1867
176,_SFKaeecdEeet0YmmfbMwkw,CF2,7.1867
177,_SFGuxecdEeet0YmmfbMwkw,CF3,5.7149
178,_SFGuxecdEeet0YmmfbMwkw,CF3,5.7149
179,_SFGuxecdEeet0YmmfbMwkw,CF3,5.7149
180,_SFGu0ecdEeet0YmmfbMwkw,CF3,4.3319
181,_SFGu0ecdEeet0YmmfbMwkw,CF3,4.3319
182,_SFGu0ecdEeet0YmmfbMwkw,CF3,4.3319
183,_SFLBEecdEeet0YmmfbMwkw,CF2,5.7289
184,_SFLBEecdEeet0YmmfbMwkw,CF2,5.7289
185,_SFLBEecdEeet0YmmfbMwkw,CF2,5.7289
186,_SEz0QOcdEeet0YmmfbMwkw,CF2,4.2609
187,_SEz0QOcdEeet0YmmfbMwkw,CF2,4.2609
188,_SEz0QOcdEeet0YmmfbMwkw,CF2,4.2609
189,_SFSWMucdEeet0YmmfbMwkw,CF3,56.9527
190,_SFSWMucdEeet0YmmfbMwkw,CF3,56.7985
191,_SFDEyecdEeet0YmmfbMwkw,CF3,4.5907
192,_SFDEyecdEeet0YmmfbMwkw,CF3,4.5907
193,_SFS9TOcdEeet0YmmfbMwkw,CF2,2.8772
194,_SFS9TOcdEeet0YmmfbMwkw,CF2,2.8772
195,_SFS9TOcdEeet0YmmfbMwkw,CF2,2.8772
196,_SFGwKOcdEeet0YmmfbMwkw,CF1,2.7044
197,_SFGwKOcdEeet0YmmfbMwkw,CF1,2.7044
198,_SFGwKOcdEeet0YmmfbMwkw,CF1,2.7044
199,_SFS8_ucdEeet0YmmfbMwkw,CF1,4.4119
200,_SFS8_ucdEeet0YmmfbMwkw,CF1,4.4119
201,_SFS8_ucdEeet0YmmfbMwkw,CF1,4.4119
202,_SFGIkucdEeet0YmmfbMwkw,CF1,4.3279
203,_SFGIkucdEeet0YmmfbMwkw,CF1,4.3279
204,_SFGIkucdEeet0YmmfbMwkw,CF1,4.3279
205,_SFGIkucdEeet0YmmfbMwkw,CF1,4.3279
206,_SFGIkucdEeet0YmmfbMwkw,CF1,4.3279
207,_SFGIkucdEeet0YmmfbMwkw,CF1,4.3279
208,_SE6h9-cdEeet0YmmfbMwkw,CF3,5.2774
209,_SE6h9-cdEeet0YmmfbMwkw,CF3,5.2774
210,_SE6h9-cdEeet0YmmfbMwkw,CF3,5.2774
211,_SFLoe-cdEeet0YmmfbMwkw,CF1,4.3799
212,_SFLoe-cdEeet0YmmfbMwkw,CF1,4.3799
213,_SFLoe-cdEeet0YmmfbMwkw,CF1,4.3799
214,_SFKZQ-cdEeet0YmmfbMwkw,CF1,2.0934
215,_SFKZQ-cdEeet0YmmfbMwkw,CF1,2.0934
216,_SFKZQ-cdEeet0YmmfbMwkw,CF1,2.0934
217,_SE7wH-cdEeet0YmmfbMwkw,CF2,5.2794
218,_SE7wH-cdEeet0YmmfbMwkw,CF2,5.2794
219,_SE7wH-cdEeet0YmmfbMwkw,CF2,5.2794
220,_SFLpJecdEeet0YmmfbMwkw,CF3,5.7339
221,_SFLpJecdEeet0YmmfbMwkw,CF3,5.7339
222,_SFLpJecdEeet0YmmfbMwkw,CF3,5.7339
223,_SFGIFOcdEeet0YmmfbMwkw,CF1,3.0186
224,_SFGIFOcdEeet0YmmfbMwkw,CF1,3.0186
225,_SFGIFOcdEeet0YmmfbMwkw,CF1,3.0186
226,_SFOq3-cdEeet0YmmfbMwkw,CF3,4.4039
227,_SFOq3-cdEeet0YmmfbMwkw,CF3,4.4039
228,_SFB2rOcdEeet0YmmfbMwkw,CF1,3.0036
229,_SFB2rOcdEeet0YmmfbMwkw,CF1,3.0036
230,_SFB2rOcdEeet0YmmfbMwkw,CF1,3.0036
231,_SFOEBucdEeet0YmmfbMwkw,CF2,4.5967
232,_SFOEBucdEeet0YmmfbMwkw,CF2,4.5967
233,_SFOD9OcdEeet0YmmfbMwkw,CF3,4.3979
234,_SFOD9OcdEeet0YmmfbMwkw,CF3,4.3979
235,_SFS-XOcdEeet0YmmfbMwkw,CF3,61.9341
236,_SFS-XOcdEeet0YmmfbMwkw,CF3,61.7671
237,_SFDE2ecdEeet0YmmfbMwkw,CF1,3.0086
238,_SFDE2ecdEeet0YmmfbMwkw,CF1,3.0086
239,_SFDE2ecdEeet0YmmfbMwkw,CF1,3.0086
240,_SFKZ1-cdEeet0YmmfbMwkw,CF1,4.5445
241,_SFKZ1-cdEeet0YmmfbMwkw,CF1,4.5445
242,_SFKZ1-cdEeet0YmmfbMwkw,CF1,4.5445
243,_SFKZ1-cdEeet0YmmfbMwkw,CF1,4.5445
244,_SFNdBOcdEeet0YmmfbMwkw,CF2,7.1967
245,_SFNdBOcdEeet0YmmfbMwkw,CF2,7.1967
246,_SFNdBOcdEeet0YmmfbMwkw,CF2,7.1967
247,_SFSW3ecdEeet0YmmfbMwkw,CF3,4.6017
248,_SFSW3ecdEeet0YmmfbMwkw,CF3,4.6017
249,_SE1B6-cdEeet0YmmfbMwkw,CF1,4.1979
250,_SE1B6-cdEeet0YmmfbMwkw,CF1,4.1979
251,_SE1B6-cdEeet0YmmfbMwkw,CF1,4.1979
252,_SE1B6-cdEeet0YmmfbMwkw,CF1,4.1979
253,_SE1B6-cdEeet0YmmfbMwkw,CF1,4.1979
254,_SE1B6-cdEeet0YmmfbMwkw,CF1,4.1979
255,_SFKZMecdEeet0YmmfbMwkw,CF1,4.3539
256,_SFKZMecdEeet0YmmfbMwkw,CF1,4.3539
257,_SFKZMecdEeet0YmmfbMwkw,CF1,4.3539
258,_SFKZMecdEeet0YmmfbMwkw,CF1,4.3539
259,_SFKZMecdEeet0YmmfbMwkw,CF1,4.3539
260,_SFB3KucdEeet0YmmfbMwkw,CF1,4.2809
261,_SFB3KucdEeet0YmmfbMwkw,CF1,4.2809
