,Optimal_Affected_Component_Uid,Optimal_Failure,raw,cube,sqt,log10,ln,log2
1681,_SFGv--cdEeet0YmmfbMwkw,CF1,698.0,411.0,1090.8543,170.699,251.0794,495.8803
1682,_SFGwEecdEeet0YmmfbMwkw,CF3,698.0,411.0,1090.8543,821.9818,251.0794,495.8803
1683,_SFGwm-cdEeet0YmmfbMwkw,CF1,698.0,411.0,1090.8543,821.9818,251.0794,495.8803
1684,_SFHVy-cdEeet0YmmfbMwkw,CF3,698.0,411.0,1090.8543,821.9818,251.0794,495.8803
1685,_SFCduucdEeet0YmmfbMwkw,CF1,2133.2516,411.0,1090.8543,340.9031,356.1972,423.9069
1686,_SFCeWucdEeet0YmmfbMwkw,CF1,2129.7516,762.7959,1229.8275,340.9031,356.1972,423.9069
1687,_SFDE2ecdEeet0YmmfbMwkw,CF1,658.0,762.6637,1229.8275,340.9031,356.1972,613.8803
1688,_SFDFeecdEeet0YmmfbMwkw,CF1,658.0,371.0,1229.8275,340.9031,386.3026,613.8803
1689,_SFDr4ecdEeet0YmmfbMwkw,CF1,658.0,371.0,998.3891,340.9031,386.3026,613.8803
1690,_SFDsgecdEeet0YmmfbMwkw,CF1,658.0,371.0,998.3891,340.9031,386.3026,216.0
1691,_SFESgecdEeet0YmmfbMwkw,CF1,658.0,371.0,998.3891,740.7161,556.3829,216.0
1692,_SFETIecdEeet0YmmfbMwkw,CF1,658.0,371.0,998.3891,740.6581,556.3829,216.0
1693,_SFE58ucdEeet0YmmfbMwkw,CF1,764.0,371.0,1081.8543,373.9542,556.3829,250.0
1694,_SFE6kucdEeet0YmmfbMwkw,CF1,764.0,476.0801,1081.8543,373.9542,556.3829,250.0
1695,_SFFhKucdEeet0YmmfbMwkw,CF1,764.0,476.0801,1006.2523,373.9542,484.7081,250.0
1696,_SFFhyucdEeet0YmmfbMwkw,CF1,795.0,476.0801,1005.8852,336.9031,484.7081,171.8074
1697,_SFGIFOcdEeet0YmmfbMwkw,CF1,795.0,505.1544,1006.5941,336.9031,674.3829,171.8074
1698,_SFGItOcdEeet0YmmfbMwkw,CF1,795.0,505.1544,1006.5941,336.9031,674.3829,171.8074
