,Optimal_Affected_Component_Uid,Optimal_Failure,sqt
1541,_SE7wP-cdEeet0YmmfbMwkw,CF2,3.4064
1542,_SE7wP-cdEeet0YmmfbMwkw,CF2,3.4064
1543,_SEwwz-cdEeet0YmmfbMwkw,CF2,3.4234
1544,_SEwwz-cdEeet0YmmfbMwkw,CF2,3.4234
1545,_SEwwz-cdEeet0YmmfbMwkw,CF2,3.4234
1546,_SFE5xucdEeet0YmmfbMwkw,CF1,6.1308
1547,_SFE5xucdEeet0YmmfbMwkw,CF1,6.1308
1548,_SFE5xucdEeet0YmmfbMwkw,CF1,6.1308
1549,_SE9lnOcdEeet0YmmfbMwkw,CF2,3.4114
1550,_SE9lnOcdEeet0YmmfbMwkw,CF2,3.4114
1551,_SE9lnOcdEeet0YmmfbMwkw,CF2,3.4114
1552,_SE7ImecdEeet0YmmfbMwkw,CF1,6.0348
1553,_SE7ImecdEeet0YmmfbMwkw,CF1,6.0348
1554,_SE7ImecdEeet0YmmfbMwkw,CF1,6.0348
1555,_SE7ImecdEeet0YmmfbMwkw,CF1,6.0348
1556,_SE7ImecdEeet0YmmfbMwkw,CF1,6.0348
1557,_SE7ImecdEeet0YmmfbMwkw,CF1,6.0348
1558,_SFKZ2ecdEeet0YmmfbMwkw,CF3,13.1035
1559,_SFKZ2ecdEeet0YmmfbMwkw,CF3,13.1035
1560,_SFKZ2ecdEeet0YmmfbMwkw,CF3,13.1035
1561,_SFLnY-cdEeet0YmmfbMwkw,CF2,2.7281
1562,_SFLnY-cdEeet0YmmfbMwkw,CF2,2.7281
1563,_SFLnY-cdEeet0YmmfbMwkw,CF2,2.7281
1564,_SFLnY-cdEeet0YmmfbMwkw,CF2,2.7281
1565,_SFLnY-cdEeet0YmmfbMwkw,CF2,2.7281
1566,_SFLnY-cdEeet0YmmfbMwkw,CF2,2.7281
1567,_SFS8cOcdEeet0YmmfbMwkw,CF3,6.5464
1568,_SFS8cOcdEeet0YmmfbMwkw,CF3,6.5464
1569,_SFDsgecdEeet0YmmfbMwkw,CF1,3.8723
1570,_SFDsgecdEeet0YmmfbMwkw,CF1,3.8723
1571,_SFDsgecdEeet0YmmfbMwkw,CF1,3.8723
1572,_SFSWK-cdEeet0YmmfbMwkw,CF3,6.2438
1573,_SFSWK-cdEeet0YmmfbMwkw,CF3,6.2438
1574,_SFSWK-cdEeet0YmmfbMwkw,CF3,6.2438
1575,_SFSWK-cdEeet0YmmfbMwkw,CF3,6.2438
1576,_SFSWK-cdEeet0YmmfbMwkw,CF3,6.2438
1577,_SEuUV-cdEeet0YmmfbMwkw,CF1,6.4451
1578,_SEuUV-cdEeet0YmmfbMwkw,CF1,6.4451
1579,_SEuUV-cdEeet0YmmfbMwkw,CF1,6.4451
1580,_SFLAeecdEeet0YmmfbMwkw,CF3,4.4452
1581,_SFLAeecdEeet0YmmfbMwkw,CF3,4.4452
1582,_SFLAeecdEeet0YmmfbMwkw,CF3,4.4452
1583,_SFDsaecdEeet0YmmfbMwkw,CF3,8.9993
1584,_SFDsaecdEeet0YmmfbMwkw,CF3,8.9993
1585,_SFDsaecdEeet0YmmfbMwkw,CF3,8.9993
1586,_SFGvbecdEeet0YmmfbMwkw,CF2,4.4422
1587,_SFGvbecdEeet0YmmfbMwkw,CF2,4.4422
