,Optimal_Affected_Component_Uid,Optimal_Failure,raw
2290,_SFM1r-cdEeet0YmmfbMwkw,CF2,50.4152
2291,_SFM1r-cdEeet0YmmfbMwkw,CF2,50.4152
2292,_SFM1r-cdEeet0YmmfbMwkw,CF2,50.4152
2293,_SFM1r-cdEeet0YmmfbMwkw,CF2,50.4152
2294,_SFM1r-cdEeet0YmmfbMwkw,CF2,50.4152
2295,_SE1CkucdEeet0YmmfbMwkw,CF1,61.8919
2296,_SE1CkucdEeet0YmmfbMwkw,CF1,61.8919
2297,_SE1CkucdEeet0YmmfbMwkw,CF1,61.8919
2298,_SFSVDecdEeet0YmmfbMwkw,CF3,15.642999999999999
2299,_SFSVDecdEeet0YmmfbMwkw,CF3,15.642999999999999
2300,_SE8XBecdEeet0YmmfbMwkw,CF1,5.306
2301,_SE8XBecdEeet0YmmfbMwkw,CF1,5.306
2302,_SE8XBecdEeet0YmmfbMwkw,CF1,5.306
2303,_SEwJr-cdEeet0YmmfbMwkw,CF2,50.3652
2304,_SEwJr-cdEeet0YmmfbMwkw,CF2,50.3652
