,Optimal_Affected_Component_Uid,Optimal_Failure,log10
159,_SFETIecdEeet0YmmfbMwkw,CF1,1.712
160,_SFETIecdEeet0YmmfbMwkw,CF1,1.712
161,_SFETIecdEeet0YmmfbMwkw,CF1,1.712
162,_SE_bAOcdEeet0YmmfbMwkw,CF1,1.693
163,_SE_bAOcdEeet0YmmfbMwkw,CF1,1.693
164,_SE_bAOcdEeet0YmmfbMwkw,CF1,1.693
165,_SE7wA-cdEeet0YmmfbMwkw,CF1,2.2953
166,_SE7wA-cdEeet0YmmfbMwkw,CF1,2.2953
167,_SE7wA-cdEeet0YmmfbMwkw,CF1,2.2953
168,_SFGvW-cdEeet0YmmfbMwkw,CF1,2.3993
169,_SFGvW-cdEeet0YmmfbMwkw,CF1,2.3993
170,_SFGvW-cdEeet0YmmfbMwkw,CF1,2.3993
171,_SE0bSucdEeet0YmmfbMwkw,CF1,2.5522
172,_SE0bSucdEeet0YmmfbMwkw,CF1,2.5522
173,_SE0bSucdEeet0YmmfbMwkw,CF1,2.5522
174,_SFKaeecdEeet0YmmfbMwkw,CF2,3.8422
175,_SFKaeecdEeet0YmmfbMwkw,CF2,3.8422
176,_SFKaeecdEeet0YmmfbMwkw,CF2,3.8422
177,_SFGuxecdEeet0YmmfbMwkw,CF3,3.1348
178,_SFGuxecdEeet0YmmfbMwkw,CF3,3.1348
179,_SFGuxecdEeet0YmmfbMwkw,CF3,3.1348
180,_SFGu0ecdEeet0YmmfbMwkw,CF3,2.3963
181,_SFGu0ecdEeet0YmmfbMwkw,CF3,2.3963
182,_SFGu0ecdEeet0YmmfbMwkw,CF3,2.3963
183,_SFLBEecdEeet0YmmfbMwkw,CF2,3.1498
184,_SFLBEecdEeet0YmmfbMwkw,CF2,3.1498
185,_SFLBEecdEeet0YmmfbMwkw,CF2,3.1498
186,_SEz0QOcdEeet0YmmfbMwkw,CF2,2.3353
187,_SEz0QOcdEeet0YmmfbMwkw,CF2,2.3353
188,_SEz0QOcdEeet0YmmfbMwkw,CF2,2.3353
189,_SFSWMucdEeet0YmmfbMwkw,CF3,25.1541
190,_SFSWMucdEeet0YmmfbMwkw,CF3,25.0872
191,_SFDEyecdEeet0YmmfbMwkw,CF3,2.6075
192,_SFDEyecdEeet0YmmfbMwkw,CF3,2.6075
193,_SFS9TOcdEeet0YmmfbMwkw,CF2,1.6332
194,_SFS9TOcdEeet0YmmfbMwkw,CF2,1.6332
195,_SFS9TOcdEeet0YmmfbMwkw,CF2,1.6332
196,_SFGwKOcdEeet0YmmfbMwkw,CF1,1.5121
197,_SFGwKOcdEeet0YmmfbMwkw,CF1,1.5121
198,_SFGwKOcdEeet0YmmfbMwkw,CF1,1.5121
199,_SFS8_ucdEeet0YmmfbMwkw,CF1,2.4673
200,_SFS8_ucdEeet0YmmfbMwkw,CF1,2.4673
201,_SFS8_ucdEeet0YmmfbMwkw,CF1,2.4673
202,_SFGIkucdEeet0YmmfbMwkw,CF1,2.5013
203,_SFGIkucdEeet0YmmfbMwkw,CF1,2.5013
204,_SFGIkucdEeet0YmmfbMwkw,CF1,2.5013
205,_SFGIkucdEeet0YmmfbMwkw,CF1,2.5013
206,_SFGIkucdEeet0YmmfbMwkw,CF1,2.5013
207,_SFGIkucdEeet0YmmfbMwkw,CF1,2.5013
208,_SE6h9-cdEeet0YmmfbMwkw,CF3,2.9144
209,_SE6h9-cdEeet0YmmfbMwkw,CF3,2.9144
210,_SE6h9-cdEeet0YmmfbMwkw,CF3,2.9144
211,_SFLoe-cdEeet0YmmfbMwkw,CF1,2.4383
212,_SFLoe-cdEeet0YmmfbMwkw,CF1,2.4383
213,_SFLoe-cdEeet0YmmfbMwkw,CF1,2.4383
214,_SFKZQ-cdEeet0YmmfbMwkw,CF1,1.183
215,_SFKZQ-cdEeet0YmmfbMwkw,CF1,1.183
216,_SFKZQ-cdEeet0YmmfbMwkw,CF1,1.183
217,_SE7wH-cdEeet0YmmfbMwkw,CF2,2.9164
218,_SE7wH-cdEeet0YmmfbMwkw,CF2,2.9164
219,_SE7wH-cdEeet0YmmfbMwkw,CF2,2.9164
220,_SFLpJecdEeet0YmmfbMwkw,CF3,3.1558
221,_SFLpJecdEeet0YmmfbMwkw,CF3,3.1558
222,_SFLpJecdEeet0YmmfbMwkw,CF3,3.1558
223,_SFGIFOcdEeet0YmmfbMwkw,CF1,1.715
224,_SFGIFOcdEeet0YmmfbMwkw,CF1,1.715
225,_SFGIFOcdEeet0YmmfbMwkw,CF1,1.715
226,_SFSWy-cdEeet0YmmfbMwkw,CF1,2.4813
227,_SFSWy-cdEeet0YmmfbMwkw,CF1,2.4813
228,_SFSWy-cdEeet0YmmfbMwkw,CF1,2.4813
229,_SFOq3-cdEeet0YmmfbMwkw,CF3,2.4593
230,_SFOq3-cdEeet0YmmfbMwkw,CF3,2.4593
